Comment,Designator,Footprint,LCSC Part #
1uF Unpolarized capacitor,"C1,C64",Capacitor_SMD,C28323
100nF Unpolarized capacitor,"C2,C3,C4,C5,C8,C9,C10,C11,C12,C13,C16,C20,C22,C23,C31,C35,C36,C37,C39,C44,C45,C46,C47,C48,C49,C50,C51,C52,C56,C57,C58,C59,C60,C65,C66",Capacitor_SMD,C49678
3300uF 25V Polarized capacitor,C6,Capacitor_THT,C442846
22uf_450V Polarized capacitor,C7,Capacitor_THT,C134229
10nF Unpolarized capacitor,"C14,C15,C21,C24",Capacitor_SMD,C1710
680pF 630V Unpolarized capacitor,C17,Capacitor_SMD,C106005
220uf_25V Polarized capacitor,"C18,C19",Capacitor_SMD,C371974
10uF Unpolarized capacitor,"C25,C26,C30,C32,C40,C43,C53",Capacitor_SMD,C440198
"100nF Unpolarized capacitor, small symbol",C27,Capacitor_SMD,C14663
4.7uF Unpolarized capacitor,"C28,C29",Capacitor_SMD,C1779
"47nF Unpolarized capacitor, small symbol","C33,C34,C54,C55,C67",Capacitor_SMD,C53134
22nf Unpolarized capacitor,"C38,C41",Capacitor_SMD,C1729
680pF Unpolarized capacitor,C42,Capacitor_SMD,C1630
22pF Unpolarized capacitor,"C62,C63",Capacitor_SMD,C1653
"SVM1045V Schottky diode, anode on pins 1 and 2","D1,D3,D4,D5,D6,D7,D8",Package_TO_SOT_SMD,C268715
D Diode,"D2,D20,D21,D22,D23",Diode_SMD,C8598
C3D03060E-TR Diode,D11,Package_TO_SOT_SMD,
"SZNUP2105LT1G Dual Line CAN Bus Protector, 24Vrwm, Automotive Grade",D15,Package_TO_SOT_SMD,C233494
LED_GREEN Light emitting diode,"D17,D25,D26",LED_SMD,C72043
"SP0505BAHT TVS Diode Array, 5.5V Standoff, 5 Channels, SOT-23-6 package",D18,Package_TO_SOT_SMD,C85364
LED_RED Light emitting diode,D28,LED_SMD,C84256
"A600-150 Resettable fuse, polymeric positive temperature coefficient",F1,Fuse,C135449
"UCC27324DR TC4427ACOA, Dual MOSFET Power Driver 1.5A, Non-Inverting, 4.5 to 18V, 8-Pin SOIC","IC1,IC3",Package_SO,C46427
"BD93291EFJ-E2 ROHM - BD93291EFJ-E2 - DC/DC CONV, DUAL O/P, 5V/3.3V, HTSOP-8",IC2,HTSOP-8,
SN65C3232EDR 3-V To 5.5-V Two Channel RS-232 1 Mbit/s Line Driver/Receiver with +/-15 kV IEC ESD Protection,IC5,SOIC127P600X175-16N,C26860
TXS0104EDR 4-Bit Bidirectional Voltage-Level Shifter for Open-Drain and Push-Pull Applications,IC6,Package_SO,C79342
"MCP25625T-E_ML Microchip Technology MCP25625T-E/ML, CAN Controller 1Mbit/s CAN 2.0B, 28-Pin QFN",IC15,QFN65P600X600X100-29N-D,C191253
"BMB_A_CONN Molex Mini50 Series, 34912 Series Number, 1 Row 2 Way Surface Mount Plug PCB Header, with SMT Termination Method",J2,0349128020,
"BMB_B_CONN Molex Mini50 Series, 34912 Series Number, 1 Row 2 Way Surface Mount Plug PCB Header, with SMT Termination Method",J3,0349128020,
"34912-8020 Molex Mini50 Series, 34912 Series Number, 1 Row 2 Way Surface Mount Plug PCB Header, with SMT Termination Method",J4,0349128020,
"HV_SENSE Generic connector, double row, 02x04, top/bottom pin numbering scheme (row 1: 1...pins_per_row, row2: pins_per_row+1 ... num_pins), script generated (kicad-library-utils/schlib/autogen/connector/)",J6,Connector_Molex,
"VEH_INTERFACE Generic connector, double row, 02x07, top/bottom pin numbering scheme (row 1: 1...pins_per_row, row2: pins_per_row+1 ... num_pins), script generated (kicad-library-utils/schlib/autogen/connector/)",J7,Connector_Molex,
