Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"","","",185.039000,-150.622000,0.000000,top
"","","",231.905000,-101.000000,0.000000,top
"C1","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",151.638000,-56.134000,90.000000,top
"C2","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",117.094000,-90.424000,-90.000000,top
"C3","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",117.094000,-84.582000,-90.000000,top
"C4","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",231.902000,-109.982000,-90.000000,top
"C5","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",213.106000,-106.934000,-90.000000,top
"C6","3300uF 25V","CP_Radial_D16.0mm_P7.50mm",83.312000,-101.346000,0.000000,top
"C7","22uf_450V","C_Radial_D12.5mm_H20.0mm_P5.00mm",112.268000,-144.018000,180.000000,top
"C8","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",183.896000,-126.238000,90.000000,top
"C9","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",174.752000,-126.238000,90.000000,top
"C10","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",183.896000,-117.094000,-90.000000,top
"C11","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",174.752000,-117.094000,-90.000000,top
"C12","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",221.996000,-89.916000,180.000000,top
"C13","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",131.826000,-107.188000,90.000000,top
"C14","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",85.598000,-67.056000,90.000000,top
"C15","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",85.598000,-56.896000,90.000000,top
"C16","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",176.276000,-82.042000,-90.000000,top
"C17","680pF 630V","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",100.076000,-142.494000,90.000000,top
"C18","220uf_25V","CP_Elec_6.3x7.7",78.740000,-117.094000,0.000000,top
"C19","220uf_25V","CP_Elec_6.3x7.7",68.326000,-117.094000,180.000000,top
"C20","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",197.358000,-49.784000,90.000000,top
"C21","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",85.598000,-76.200000,90.000000,top
"C22","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",199.644000,-53.848000,90.000000,top
"C23","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",199.644000,-57.912000,90.000000,top
"C24","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",85.852000,-85.344000,90.000000,top
"C25","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",135.128000,-75.438000,180.000000,top
"C26","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",160.782000,-64.262000,0.000000,top
"C27","100nF","C_0603_1608Metric",144.272000,-92.964000,90.000000,top
"C28","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",175.768000,-93.726000,180.000000,top
"C29","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",175.768000,-98.298000,0.000000,top
"C30","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",175.768000,-100.584000,180.000000,top
"C31","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",105.410000,-104.140000,90.000000,top
"C32","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",120.142000,-104.140000,90.000000,top
"C33","47nF","C_0603_1608Metric",149.352000,-111.760000,180.000000,top
"C34","47nF","C_0603_1608Metric",136.144000,-111.760000,180.000000,top
"C35","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",176.784000,-110.998000,90.000000,top
"C36","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",199.644000,-49.784000,90.000000,top
"C37","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",210.058000,-49.784000,90.000000,top
"C38","22nf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",180.848000,-58.674000,180.000000,top
"C39","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",191.778000,-55.347000,90.000000,top
"C40","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",188.730000,-50.521000,0.000000,top
"C41","22nf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",176.784000,-58.674000,0.000000,top
"C42","680pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",180.848000,-50.521000,0.000000,top
"C43","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",185.674000,-58.674000,180.000000,top
"C44","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",55.126000,-127.762000,0.000000,top
"C45","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",85.598000,-72.390000,90.000000,top
"C46","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",85.852000,-81.534000,90.000000,top
"C47","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",85.598000,-63.246000,90.000000,top
"C48","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",85.598000,-53.086000,90.000000,top
"C49","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",135.128000,-73.406000,0.000000,top
"C50","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",140.970000,-80.010000,0.000000,top
"C51","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",160.782000,-79.756000,180.000000,top
"C52","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",147.574000,-56.134000,-90.000000,top
"C53","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",149.606000,-56.134000,90.000000,top
"C54","47nF","C_0603_1608Metric",162.560000,-111.760000,180.000000,top
"C55","47nF","C_0603_1608Metric",174.752000,-136.652000,0.000000,top
"C56","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",145.034000,-107.188000,90.000000,top
"C57","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",158.242000,-107.188000,90.000000,top
"C58","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",131.826000,-98.044000,90.000000,top
"C59","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",145.034000,-98.044000,90.000000,top
"C60","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",158.242000,-98.044000,90.000000,top
"C62","22pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",136.652000,-63.754000,0.000000,top
"C63","22pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",136.652000,-66.040000,180.000000,top
"C64","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",153.670000,-56.134000,90.000000,top
"C65","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",36.830000,-114.046000,0.000000,top
"C66","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",40.894000,-114.046000,0.000000,top
"C67","47nF","C_0603_1608Metric",170.942000,-136.652000,180.000000,top
"D1","SVM1045V","TO-277B",180.086000,-40.640000,180.000000,top
"D2","D","D_SOD-123",172.974000,-110.998000,0.000000,top
"D3","SVM1045V","TO-277B",93.472000,-116.586000,180.000000,top
"D4","SVM1045V","TO-277B",92.756000,-45.110000,180.000000,top
"D5","SVM1045V","TO-277B",104.694000,-45.110000,180.000000,top
"D6","SVM1045V","TO-277B",116.632000,-45.110000,180.000000,top
"D7","SVM1045V","TO-277B",128.570000,-45.110000,180.000000,top
"D8","SVM1045V","TO-277B",186.436000,-44.704000,0.000000,top
"D11","C3D03060E-TR","TO-252-2",124.206000,-146.050000,90.000000,top
"D15","SZNUP2105LT1G","SOT-23",209.296000,-82.042000,0.000000,top
"D17","LED_GREEN","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",126.238000,-75.438000,0.000000,top
"D18","SP0505BAHT","SOT-23-6",164.592000,-67.056000,180.000000,top
